frame,r_dist,rho_dist,theta
0,0.7525341350849859,0.6532182419922059,155.97057059768312
1,0.6884638015630404,0.6051325790494173,160.59336430859562
2,0.7301850311009547,0.6151178830855862,154.80935441048317
3,0.6581530863854409,0.5461485903094575,160.45814340256075
4,0.7076048086193814,0.5391935298605154,155.9849650883911
5,0.7258922436283981,0.6348330430014735,158.6733158791734
6,0.7492919280863342,0.6414161671170618,154.070727564175
7,0.7148489137149151,0.6035162411882317,157.11578212937908
8,0.7344864584817493,0.5541238087368028,142.69974226746473
9,0.7398277547885926,0.5593919054282167,150.37875382113953
10,0.7276170701163095,0.6044566588779033,158.73144689769575
11,0.728367748336521,0.4567156790013899,151.6553692284413
12,0.6972652401880873,0.526342691767911,149.7045300602762
13,0.7113758271198392,0.47410660192087223,135.6733169070266
14,0.7341646121760965,0.46203303792015127,130.34330966775724
15,0.7098781132931411,0.4922112091901449,146.82758974117561
16,0.7462800163896455,0.5823924357176506,147.66795506331255
17,0.7079649128108512,0.546043780197716,152.96639761734326
18,0.7059223138945502,0.5641341705949646,153.40265917113234
19,0.7181484989202237,0.4495445804702385,150.18071752439667
20,0.7485655224784652,0.5265262697702944,154.71741134565792
21,0.8086111615829363,0.6961478441574755,155.7895596617993
22,0.8187239003501221,0.7327227339860535,150.42011415896252
23,0.7978338839805752,0.7484020035422978,150.96779761512835
24,0.6833056176956949,0.6154268175520388,155.57729789989182
25,0.7733534526815579,0.6719418007056722,161.49756994945577
26,0.8208175800187972,0.8207063720700345,162.3792469240915
27,0.748878659165415,0.7252207743311608,159.25682970881567
28,0.7504716646385211,0.6940743129300755,164.94205525787632
29,0.7362182485118737,0.6822514107485073,163.15650074636415
30,0.6877053996090142,0.6547608200020464,166.82743844222938
31,0.7190562453055407,0.6476797971303934,157.34884375561288
32,0.7204444068258801,0.6924654467834914,159.03087835444882
33,0.7442323251656487,0.7003948668458709,161.81332633328327
34,0.7827304458185578,0.7567188185143011,161.73625547453523
35,0.6990872472914637,0.5397380325747041,155.6126859044739
36,0.6315376642682735,0.4214821392309168,145.4462122216998
37,0.7026133442318836,0.43366916111921755,150.0610658645541
38,0.6757317204722489,0.3985168518917958,146.36057637862015
39,0.6733104379613872,0.2966356019719789,138.70822853750246
40,0.6821944911003075,0.4043131923168753,148.45101380460864
41,0.6723754993625203,0.3189966504936096,133.53268030528108
42,0.6801684646403644,0.38909639115860883,137.52176935426422
43,0.6677172273915601,0.4780876957554181,134.6600400514274
44,0.6857648067466966,0.35738427106934495,116.1514996885509
45,0.650026292611011,0.4035996413937633,133.01494344448673
46,0.7222019516192169,0.4588499957407648,153.0304264500196
47,0.7247058552479942,0.46571519715048515,148.31902969516057
48,0.6782369565759225,0.4271123671042579,137.16785781702598
49,0.6493364292238104,0.4235381741657722,143.75895927427024
50,0.637681626923993,0.4168400671326986,142.34507259335777
51,0.7041893611193465,0.43065360911280787,138.28878530091424
52,0.6928650698010529,0.3111711772628238,144.2128241551203
53,0.732239420091207,0.4974152742900416,142.44230459205414
54,0.6986329966589078,0.35718185752491305,139.8797363468042
55,0.7036675003149062,0.459988448266717,145.50360040133089
56,0.7536235401265785,0.5016579870312543,134.0902060479334
57,0.697614159852444,0.42820108114074,144.2126162117438
58,0.7082806223711826,0.308483545166226,131.6248888131606
59,0.7143907588104225,0.42656816285524557,133.7622375966402
60,0.681055565890979,0.3741898199273934,129.62813922937596
61,0.6604705591734659,0.3779103617923483,148.04459388923303
62,0.7144594190719168,0.4078730275451285,128.81269329522425
63,0.657926011795826,0.3789730424084944,148.5456926997203
64,0.6890099763482965,0.4236410081731841,153.9443900530434
65,0.6805205296548463,0.3898977222876808,149.08225860004956
66,0.6406069847457772,0.4304696554386232,153.30415971650712
67,0.648111334195681,0.37735902638829744,150.1274265601111
68,0.7100224800314486,0.38372246664895976,136.74729389862787
69,0.595552490626048,0.2718144828805613,144.43387950454317
70,0.6927080570809595,0.3092402317444562,120.92248399984963
71,0.6936392990197151,0.36465395906156867,136.35916056589497
72,0.6654822263629425,0.3860524737712293,144.87796990830785
73,0.667116140554367,0.33533535104716894,132.90049493709014
74,0.6698341817911098,0.4337800363024977,165.72215279838065
75,0.6455354266750815,0.3936978380874915,143.26154695330752
76,0.6529999790704765,0.40536989173647275,135.88706245123927
77,0.6369066685340385,0.41372417842836756,135.70654783092795
78,0.6849413168748535,0.3991051681592147,148.1398743016614
79,0.6740445604646259,0.3273907885625167,148.64667111409923
80,0.7143317598519895,0.3318917003687157,140.54948519608595
81,0.7594624562978045,0.48415100915207954,149.62026684334583
82,0.7713188997821595,0.6052591419139598,152.4541890173581
83,0.7087297460175312,0.5220709592195107,150.87773678725665
84,0.7242902197877888,0.5361147850501579,149.87906353870463
85,0.8120310494495063,0.6138368706877575,146.30945974237417
86,0.7442969223247238,0.4658978707649053,141.22861300847913
87,0.7599204591392978,0.5560311190009614,142.72716531887465
88,0.7689283466660627,0.5789395712597545,155.62599976953408
89,0.7260063651865792,0.5398418934292205,139.62758321997603
90,0.7735955862100857,0.5660101244187231,147.39657814203434
91,0.8060630097831679,0.5907796909943012,145.6336514034356
92,0.7536755415108526,0.5779839332818426,149.53671594785948
93,0.774365917893356,0.5724865176298853,143.06551458836353
94,0.7847901164738629,0.628272217302004,142.61504329538465
95,0.8167926360094205,0.6513850732807768,134.2409285519005
96,0.7764769010254935,0.6123334642987364,144.43788083837606
97,0.7598393505271641,0.6077593794222531,145.49901725200132
98,0.8104121726382147,0.5409397318141614,135.08093388406618
99,0.7883968777868743,0.5196571326099256,136.61494540807712
100,0.7897108536414607,0.605165488837383,140.5836318672023
101,0.7383258748819608,0.42411226609362934,156.47997262154306
102,0.7849394333332673,0.5243330097484492,146.7317220413372
103,0.7608361802182897,0.5086551442902992,147.10456394640678
104,0.836538734905782,0.6457514449118662,137.9987723119645
105,0.8194250922224429,0.5711406605180512,141.5627004049139
106,0.6947400897339594,0.44529389123318047,154.1271401515225
107,0.7386587920253681,0.5418034826953178,144.25224813522243
108,0.7954860846024921,0.5820523647845017,145.50202301034128
109,0.7655549307763746,0.5182274680121298,147.46779400094948
110,0.7777646181635018,0.4524793832501986,146.3621184557942
111,0.7710376904834059,0.5068858711088686,154.88804102443018
112,0.7688687785959589,0.44896095739862396,151.27132006041143
113,0.7422035371897595,0.5512568559847363,137.16504133402375
114,0.7446664469083933,0.48630044426864777,133.50814995121183
115,0.742207354053125,0.524708430571062,154.6993834811691
116,0.747781716816918,0.48594092888134927,149.13714293696927
117,0.7349930983164382,0.3631379221463721,137.28240058758038
118,0.6783081713448454,0.2528306040067165,144.49702808385385
119,0.6917016431226134,0.29416656033265703,122.65108461399315
120,0.7003599118141748,0.3185792690407133,150.71178799480177
121,0.6862690052232986,0.32956441015095106,128.87853039518797
